player_id,season,season_type,team_id,minutes_played,touches,avg_sec_per_touch,pts_per_touch,time_of_poss,player_name,team_abbreviation,usage_percentage,friction_score,touch_efficiency,possession_efficiency,friction_percentile,touch_efficiency_percentile
1628374,2023-24,Regular Season,1610612762,,50.7,1.84,0.459,1.6,Lauri Markkanen,UTA,0.241,4.008714596949891,0.24945652173913044,14.544562500000001,1.0,1.0
1628386,2023-24,Regular Season,1610612739,,50.0,1.62,0.33,1.3,Jarrett Allen,CLE,0.191,4.909090909090909,0.2037037037037037,12.692307692307692,0.9904761904761905,0.9904761904761905
202696,2023-24,Regular Season,1610612741,,63.9,1.42,0.281,1.5,Nikola Vučević,CHI,0.233,5.053380782918149,0.197887323943662,11.970600000000001,0.9809523809523809,0.9809523809523809
1626157,2023-24,Regular Season,1610612750,,53.2,2.13,0.409,1.9,Karl-Anthony Towns,MIN,0.268,5.207823960880195,0.192018779342723,11.452,0.9714285714285714,0.9714285714285714
1629028,2023-24,Regular Season,1610612757,,54.5,1.76,0.303,1.6,Deandre Ayton,SAC,0.211,5.808580858085809,0.1721590909090909,10.3209375,0.9619047619047619,0.9619047619047619
203954,2023-24,Regular Season,1610612755,,74.6,2.73,0.465,3.4,Joel Embiid,PHX,0.387,5.870967741935483,0.17032967032967034,10.20264705882353,0.9523809523809523,0.9523809523809523
1641705,2023-24,Regular Season,1610612759,,59.2,2.34,0.362,2.3,Victor Wembanyama,TOR,0.312,6.464088397790055,0.1547008547008547,9.317565217391305,0.9428571428571428,0.9428571428571428
203076,2023-24,Regular Season,1610612747,,73.4,2.26,0.338,2.8,Anthony Davis,LAL,0.261,6.686390532544378,0.14955752212389384,8.860428571428574,0.9333333333333333,0.9333333333333333
1630578,2023-24,Regular Season,1610612745,,61.4,2.32,0.344,2.4,Alperen Sengun,HOU,0.27,6.744186046511628,0.1482758620689655,8.800666666666666,0.9238095238095239,0.9238095238095239
1631096,2023-24,Regular Season,1610612760,,55.4,2.03,0.299,1.9,Chet Holmgren,OKC,0.21,6.789297658862876,0.14729064039408868,8.71821052631579,0.9142857142857143,0.9142857142857143
1628991,2023-24,Regular Season,1610612763,,54.8,2.91,0.411,2.7,Jaren Jackson Jr.,MEM,0.302,7.080291970802921,0.14123711340206185,8.341777777777777,0.9047619047619048,0.9047619047619048
1629628,2023-24,Regular Season,1610612761,,53.0,2.72,0.381,2.4,RJ Barrett,WAS,0.257,7.139107611548557,0.1400735294117647,8.41375,0.8952380952380953,0.8952380952380953
1627783,2023-24,Regular Season,1610612754,,58.3,2.68,0.372,2.6,Pascal Siakam,PHI,0.25,7.204301075268818,0.13880597014925372,8.341384615384614,0.8857142857142857,0.8857142857142857
1630596,2023-24,Regular Season,1610612739,,59.4,1.92,0.264,1.9,Evan Mobley,CLE,0.2,7.2727272727272725,0.1375,8.253473684210526,0.8761904761904762,0.8761904761904762
203924,2023-24,Regular Season,1610612757,,52.5,2.92,0.4,2.6,Jerami Grant,SAC,0.255,7.3,0.13698630136986303,8.076923076923077,0.8666666666666667,0.8666666666666667
1628970,2023-24,Regular Season,1610612766,,65.5,2.44,0.32,2.7,Miles Bridges,IND,0.242,7.625,0.13114754098360656,7.762962962962962,0.8571428571428571,0.8571428571428571
1631105,2023-24,Regular Season,1610612765,,57.6,1.87,0.242,1.8,Jalen Duren,CHA,0.181,7.7272727272727275,0.12941176470588234,7.744,0.8476190476190476,0.8476190476190476
202695,2023-24,Regular Season,1610612746,,53.7,3.73,0.443,3.3,Kawhi Leonard,LAC,0.261,8.419864559819413,0.11876675603217159,7.208818181818182,0.8380952380952381,0.8380952380952381
1628969,2023-24,Regular Season,1610612751,,57.7,2.93,0.344,2.8,Mikal Bridges,BKN,0.238,8.517441860465118,0.11740614334470988,7.088857142857144,0.8285714285714286,0.8285714285714286
1628398,2023-24,Regular Season,1610612764,,57.9,3.32,0.383,3.2,Kyle Kuzma,DET,0.295,8.66840731070496,0.11536144578313254,6.92990625,0.819047619047619,0.819047619047619
1629622,2023-24,Regular Season,1610612739,,55.1,1.92,0.221,1.8,Max Strus,CLE,0.167,8.687782805429864,0.11510416666666667,6.765055555555556,0.8095238095238095,0.8095238095238095
1630170,2023-24,Regular Season,1610612759,,56.6,3.01,0.344,2.8,Devin Vassell,TOR,0.229,8.75,0.11428571428571428,6.953714285714286,0.8,0.8
202331,2023-24,Regular Season,1610612746,,56.8,3.53,0.397,3.3,Paul George,LAC,0.264,8.89168765743073,0.11246458923512749,6.833212121212121,0.7904761904761904,0.7904761904761904
1630552,2023-24,Regular Season,1610612737,,69.7,2.07,0.23,2.4,Jalen Johnson,ATL,0.184,8.999999999999998,0.11111111111111112,6.679583333333334,0.780952380952381,0.780952380952381
201142,2023-24,Regular Season,1610612756,,71.0,3.47,0.378,4.1,Kevin Durant,POR,0.283,9.17989417989418,0.10893371757925072,6.545853658536586,0.7714285714285715,0.7714285714285715
203507,2023-24,Regular Season,1610612749,,79.7,3.53,0.382,4.7,Giannis Antetokounmpo,MIL,0.32,9.240837696335078,0.10821529745042494,6.477744680851064,0.7619047619047619,0.7619047619047619
203994,2023-24,Regular Season,1610612756,,55.5,1.83,0.197,1.7,Jusuf Nurkić,POR,0.187,9.289340101522843,0.10765027322404372,6.431470588235294,0.7523809523809524,0.7523809523809524
1627759,2023-24,Regular Season,1610612738,,53.0,4.08,0.433,3.6,Jaylen Brown,BOS,0.283,9.422632794457275,0.10612745098039215,6.374722222222222,0.7428571428571429,0.7428571428571429
203944,2023-24,Regular Season,1610612752,,72.5,3.15,0.33,3.8,Julius Randle,NYK,0.287,9.545454545454545,0.10476190476190476,6.296052631578949,0.7333333333333333,0.7333333333333333
1628389,2023-24,Regular Season,1610612748,,63.0,2.96,0.306,3.1,Bam Adebayo,MIA,0.247,9.673202614379084,0.10337837837837838,6.218709677419354,0.7238095238095238,0.7238095238095238
1630560,2023-24,Regular Season,1610612751,,54.5,4.03,0.41,3.7,Cam Thomas,BKN,0.296,9.829268292682928,0.10173697270471463,6.039189189189189,0.7142857142857143,0.7142857142857143
1641706,2023-24,Regular Season,1610612766,,54.4,3.13,0.316,2.8,Brandon Miller,IND,0.235,9.905063291139241,0.10095846645367412,6.139428571428573,0.7047619047619048,0.7047619047619048
202699,2023-24,Regular Season,1610612755,,53.8,3.2,0.319,2.9,Tobias Harris,PHX,0.203,10.031347962382446,0.0996875,5.918,0.6952380952380952,0.6952380952380952
1629627,2023-24,Regular Season,1610612740,,62.9,3.71,0.366,3.9,Zion Williamson,NOP,0.285,10.136612021857923,0.09865229110512129,5.902923076923076,0.6857142857142857,0.6857142857142857
1628369,2023-24,Regular Season,1610612738,,75.8,3.83,0.354,4.8,Jayson Tatum,BOS,0.296,10.819209039548022,0.09242819843342036,5.590249999999999,0.6761904761904762,0.6761904761904762
203999,2023-24,Regular Season,1610612743,,101.1,2.83,0.261,4.8,Nikola Jokić,DEN,0.288,10.842911877394636,0.09222614840989399,5.4973125000000005,0.6666666666666666,0.6666666666666666
1630567,2023-24,Regular Season,1610612761,,75.1,2.9,0.264,3.6,Scottie Barnes,WAS,0.24,10.984848484848484,0.0910344827586207,5.507333333333333,0.6571428571428571,0.6571428571428571
1630166,2023-24,Regular Season,1610612764,,55.5,2.92,0.265,2.7,Deni Avdija,DET,0.196,11.018867924528301,0.09075342465753425,5.447222222222222,0.6476190476190476,0.6476190476190476
203903,2023-24,Regular Season,1610612762,,50.6,3.74,0.336,3.2,Jordan Clarkson,UTA,0.255,11.130952380952381,0.08983957219251337,5.313000000000001,0.638095238095238,0.638095238095238
1630532,2023-24,Regular Season,1610612753,,57.3,3.83,0.344,3.7,Franz Wagner,ORL,0.25,11.13372093023256,0.0898172323759791,5.32735135135135,0.6285714285714286,0.6285714285714286
202681,2023-24,Regular Season,1610612742,,70.7,4.12,0.364,4.9,Kyrie Irving,DAL,0.274,11.31868131868132,0.08834951456310679,5.252,0.6190476190476191,0.6190476190476191
201939,2023-24,Regular Season,1610612744,,68.4,4.43,0.386,5.1,Stephen Curry,GSW,0.302,11.476683937823832,0.0871331828442438,5.1769411764705895,0.6095238095238096,0.6095238095238096
1630162,2023-24,Regular Season,1610612750,,70.1,4.27,0.37,5.0,Anthony Edwards,MIN,0.314,11.54054054054054,0.08665105386416863,5.187399999999999,0.6,0.6
1627734,2023-24,Regular Season,1610612758,,91.5,2.45,0.212,3.7,Domantas Sabonis,SAS,0.22,11.556603773584907,0.08653061224489796,5.242702702702703,0.5904761904761905,0.5904761904761905
1629639,2023-24,Regular Season,1610612748,,65.1,3.78,0.32,4.1,Tyler Herro,MIA,0.268,11.8125,0.08465608465608467,5.080975609756098,0.580952380952381,0.580952380952381
1628370,2023-24,Regular Season,1610612758,,52.8,3.45,0.292,3.0,Malik Monk,SAS,0.247,11.815068493150687,0.08463768115942027,5.139199999999999,0.5714285714285714,0.5714285714285714
203114,2023-24,Regular Season,1610612749,,50.3,3.6,0.299,3.0,Khris Middleton,MIL,0.23,12.040133779264215,0.08305555555555555,5.013233333333333,0.5619047619047619,0.5619047619047619
1631114,2023-24,Regular Season,1610612760,,57.1,4.06,0.334,3.9,Jalen Williams,OKC,0.232,12.15568862275449,0.08226600985221676,4.890102564102564,0.5523809523809524,0.5523809523809524
2544,2023-24,Regular Season,1610612747,,76.9,4.07,0.333,5.2,LeBron James,LAL,0.285,12.222222222222223,0.08181818181818182,4.924557692307692,0.5428571428571428,0.5428571428571428
1629012,2023-24,Regular Season,1610612762,,52.1,4.44,0.36,3.9,Collin Sexton,UTA,0.267,12.333333333333336,0.08108108108108107,4.809230769230769,0.5333333333333333,0.5333333333333333
1627742,2023-24,Regular Season,1610612740,,64.6,4.01,0.325,4.3,Brandon Ingram,NOP,0.269,12.338461538461537,0.08104738154613467,4.882558139534884,0.5238095238095238,0.5238095238095238
203897,2023-24,Regular Season,1610612741,,63.0,3.91,0.309,4.1,Zach LaVine,CHI,0.238,12.653721682847896,0.07902813299232736,4.748048780487805,0.5142857142857142,0.5142857142857142
201942,2023-24,Regular Season,1610612741,,64.4,4.73,0.373,5.1,DeMar DeRozan,CHI,0.252,12.680965147453085,0.0788583509513742,4.710039215686275,0.5047619047619047,0.5047619047619047
1630217,2023-24,Regular Season,1610612763,,77.2,3.93,0.307,5.1,Desmond Bane,MEM,0.273,12.801302931596092,0.07811704834605597,4.647137254901961,0.49523809523809526,0.49523809523809526
202710,2023-24,Regular Season,1610612748,,61.0,4.41,0.341,4.5,Jimmy Butler III,MIA,0.235,12.932551319648093,0.07732426303854875,4.622444444444445,0.4857142857142857,0.4857142857142857
1629673,2023-24,Regular Season,1610612764,,53.7,4.25,0.324,3.8,Jordan Poole,DET,0.256,13.117283950617283,0.07623529411764707,4.578631578947369,0.47619047619047616,0.47619047619047616
203468,2023-24,Regular Season,1610612740,,67.0,3.95,0.301,4.4,CJ McCollum,NOP,0.244,13.122923588039868,0.07620253164556962,4.5834090909090905,0.4666666666666667,0.4666666666666667
1630224,2023-24,Regular Season,1610612745,,59.8,4.35,0.328,4.3,Jalen Green,HOU,0.27,13.262195121951217,0.07540229885057473,4.561488372093024,0.45714285714285713,0.45714285714285713
1631110,2023-24,Regular Season,1610612759,,50.9,3.06,0.226,2.6,Jeremy Sochan,TOR,0.187,13.539823008849558,0.0738562091503268,4.424384615384615,0.44761904761904764,0.44761904761904764
1628983,2023-24,Regular Season,1610612760,,71.0,5.73,0.423,6.8,Shai Gilgeous-Alexander,OKC,0.317,13.546099290780143,0.0738219895287958,4.416617647058824,0.4380952380952381,0.4380952380952381
1627936,2023-24,Regular Season,1610612741,,52.7,2.6,0.191,2.3,Alex Caruso,CHI,0.146,13.612565445026178,0.07346153846153847,4.376391304347827,0.42857142857142855,0.42857142857142855
1626164,2023-24,Regular Season,1610612756,,73.4,5.04,0.369,6.2,Devin Booker,POR,0.289,13.658536585365853,0.07321428571428572,4.368483870967742,0.41904761904761906,0.41904761904761906
1630581,2023-24,Regular Season,1610612760,,56.5,3.0,0.218,2.8,Josh Giddey,OKC,0.223,13.761467889908257,0.07266666666666667,4.398928571428572,0.4095238095238095,0.4095238095238095
203110,2023-24,Regular Season,1610612744,,60.5,1.98,0.143,2.0,Draymond Green,GSW,0.148,13.846153846153847,0.07222222222222222,4.325749999999999,0.4,0.4
1628378,2023-24,Regular Season,1610612739,,79.1,4.77,0.336,6.3,Donovan Mitchell,CLE,0.301,14.19642857142857,0.07044025157232706,4.218666666666667,0.3904761904761905,0.3904761904761905
1628368,2023-24,Regular Season,1610612758,,81.4,4.68,0.326,6.3,De'Aaron Fox,SAS,0.3,14.355828220858895,0.06965811965811966,4.212126984126985,0.38095238095238093,0.38095238095238093
1631094,2023-24,Regular Season,1610612753,,76.4,4.31,0.295,5.5,Paolo Banchero,ORL,0.292,14.610169491525424,0.06844547563805105,4.097818181818182,0.37142857142857144,0.37142857142857144
1626156,2023-24,Regular Season,1610612747,,67.1,3.97,0.269,4.4,D'Angelo Russell,LAL,0.222,14.758364312267657,0.0677581863979849,4.10225,0.3619047619047619,0.3619047619047619
1629029,2023-24,Regular Season,1610612742,,91.8,5.46,0.368,8.3,Luka Dončić,DAL,0.355,14.83695652173913,0.0673992673992674,4.070168674698794,0.3523809523809524,0.3523809523809524
1628404,2023-24,Regular Season,1610612752,,55.5,2.51,0.169,2.3,Josh Hart,NYK,0.133,14.852071005917157,0.06733067729083667,4.07804347826087,0.34285714285714286,0.34285714285714286
1627747,2023-24,Regular Season,1610612739,,53.2,3.91,0.263,3.5,Caris LeVert,CLE,0.224,14.866920152091256,0.06726342710997442,3.9976000000000003,0.3333333333333333,0.3333333333333333
1629632,2023-24,Regular Season,1610612741,,73.3,3.9,0.261,4.8,Coby White,CHI,0.224,14.942528735632184,0.06692307692307693,3.9856875000000005,0.3238095238095238,0.3238095238095238
203078,2023-24,Regular Season,1610612756,,66.3,4.22,0.272,4.7,Bradley Beal,POR,0.224,15.514705882352938,0.06445497630331755,3.836936170212766,0.3142857142857143,0.3142857142857143
203935,2023-24,Regular Season,1610612763,,52.4,4.3,0.276,3.8,Marcus Smart,MEM,0.225,15.579710144927533,0.06418604651162792,3.805894736842106,0.3047619047619048,0.3047619047619048
201950,2023-24,Regular Season,1610612738,,53.8,3.6,0.231,3.2,Jrue Holiday,BOS,0.161,15.584415584415584,0.06416666666666666,3.8836874999999993,0.29523809523809524,0.29523809523809524
1630559,2023-24,Regular Season,1610612747,,61.4,4.23,0.258,4.3,Austin Reaves,LAL,0.198,16.395348837209305,0.06099290780141844,3.684,0.2857142857142857,0.2857142857142857
1629014,2023-24,Regular Season,1610612757,,73.3,5.14,0.308,6.3,Anfernee Simons,SAC,0.276,16.68831168831169,0.05992217898832685,3.5835555555555554,0.2761904761904762,0.2761904761904762
1628401,2023-24,Regular Season,1610612738,,62.0,4.17,0.246,4.3,Derrick White,BOS,0.183,16.95121951219512,0.058992805755395686,3.5469767441860465,0.26666666666666666,0.26666666666666666
1630178,2023-24,Regular Season,1610612755,,87.4,5.06,0.297,7.4,Tyrese Maxey,PHX,0.273,17.037037037037038,0.058695652173913045,3.5078108108108106,0.2571428571428571,0.2571428571428571
1627750,2023-24,Regular Season,1610612743,,69.5,5.12,0.298,5.9,Jamal Murray,DEN,0.273,17.181208053691275,0.058203124999999994,3.5103389830508474,0.24761904761904763,0.24761904761904763
1627749,2023-24,Regular Season,1610612737,,81.3,4.76,0.276,6.4,Dejounte Murray,ATL,0.259,17.2463768115942,0.057983193277310933,3.5060624999999996,0.23809523809523808,0.23809523809523808
1630193,2023-24,Regular Season,1610612761,,60.0,4.84,0.28,4.8,Immanuel Quickley,WAS,0.233,17.285714285714285,0.057851239669421496,3.5000000000000004,0.22857142857142856,0.22857142857142856
1626179,2023-24,Regular Season,1610612748,,75.1,4.68,0.263,5.9,Terry Rozier,MIA,0.253,17.794676806083647,0.056196581196581205,3.3476779661016947,0.21904761904761905,0.21904761904761905
1628973,2023-24,Regular Season,1610612752,,88.0,5.86,0.326,8.6,Jalen Brunson,NYK,0.311,17.97546012269939,0.05563139931740614,3.335813953488372,0.20952380952380953,0.20952380952380953
1627763,2023-24,Regular Season,1610612757,,59.3,4.78,0.265,4.7,Malcolm Brogdon,SAC,0.226,18.037735849056602,0.05543933054393305,3.343510638297872,0.2,0.2
203081,2023-24,Regular Season,1610612749,,78.9,5.61,0.308,7.4,Damian Lillard,MIL,0.274,18.214285714285715,0.054901960784313725,3.283945945945946,0.19047619047619047,0.19047619047619047
1629630,2023-24,Regular Season,1610612763,,78.9,5.8,0.318,7.6,Ja Morant,MEM,0.296,18.238993710691823,0.05482758620689655,3.3013421052631586,0.18095238095238095,0.18095238095238095
1630163,2023-24,Regular Season,1610612766,,83.8,5.22,0.285,7.3,LaMelo Ball,IND,0.315,18.315789473684212,0.05459770114942528,3.2716438356164383,0.17142857142857143,0.17142857142857143
1630595,2023-24,Regular Season,1610612765,,80.1,5.27,0.281,7.0,Cade Cunningham,CHA,0.298,18.75444839857651,0.05332068311195447,3.215442857142857,0.1619047619047619,0.1619047619047619
1629027,2023-24,Regular Season,1610612737,,85.5,5.82,0.301,8.3,Trae Young,ATL,0.289,19.335548172757477,0.05171821305841924,3.100662650602409,0.1523809523809524,0.1523809523809524
1630169,2023-24,Regular Season,1610612754,,90.9,4.31,0.222,6.5,Tyrese Haliburton,PHI,0.239,19.414414414414413,0.051508120649651976,3.1045846153846153,0.14285714285714285,0.14285714285714285
1630590,2023-24,Regular Season,1610612763,,54.9,4.64,0.235,4.2,Scotty Pippen Jr.,MEM,0.227,19.74468085106383,0.050646551724137935,3.071785714285714,0.13333333333333333,0.13333333333333333
1629636,2023-24,Regular Season,1610612739,,75.3,5.26,0.24,6.6,Darius Garland,CLE,0.249,21.916666666666668,0.045627376425855515,2.7381818181818183,0.12380952380952381,0.12380952380952381
1627832,2023-24,Regular Season,1610612745,,80.1,4.88,0.217,6.5,Fred VanVleet,HOU,0.194,22.48847926267281,0.0444672131147541,2.674107692307692,0.11428571428571428,0.11428571428571428
1630703,2023-24,Regular Season,1610612757,,67.7,4.74,0.207,5.3,Scoot Henderson,SAC,0.26,22.898550724637683,0.043670886075949364,2.644132075471698,0.10476190476190476,0.10476190476190476
200768,2023-24,Regular Season,1610612755,,56.2,3.45,0.147,3.2,Kyle Lowry,PHX,0.128,23.469387755102044,0.04260869565217391,2.5816874999999997,0.09523809523809523,0.09523809523809523
1626145,2023-24,Regular Season,1610612764,,68.2,4.2,0.176,4.8,Tyus Jones,DET,0.161,23.863636363636367,0.0419047619047619,2.5006666666666666,0.08571428571428572,0.08571428571428572
204456,2023-24,Regular Season,1610612754,,52.4,4.73,0.195,4.1,T.J. McConnell,PHI,0.229,24.25641025641026,0.04122621564482029,2.49219512195122,0.0761904761904762,0.0761904761904762
201935,2023-24,Regular Season,1610612746,,75.6,5.39,0.22,6.8,James Harden,LAC,0.202,24.5,0.04081632653061225,2.4458823529411764,0.06666666666666667,0.06666666666666667
203471,2023-24,Regular Season,1610612751,,75.1,4.75,0.187,5.9,Dennis Schröder,BKN,0.202,25.40106951871658,0.03936842105263158,2.38028813559322,0.05714285714285714,0.05714285714285714
201144,2023-24,Regular Season,1610612750,,66.5,4.41,0.172,4.9,Mike Conley,MIN,0.157,25.639534883720934,0.03900226757369614,2.334285714285714,0.047619047619047616,0.047619047619047616
1641718,2023-24,Regular Season,1610612762,,63.0,5.31,0.203,5.6,Keyonte George,UTA,0.224,26.157635467980292,0.038229755178907726,2.28375,0.0380952380952381,0.0380952380952381
1630200,2023-24,Regular Season,1610612759,,63.0,4.72,0.16,5.0,Tre Jones,TOR,0.149,29.499999999999996,0.03389830508474576,2.016,0.02857142857142857,0.02857142857142857
101108,2023-24,Regular Season,1610612744,,58.8,4.71,0.156,4.6,Chris Paul,GSW,0.154,30.192307692307693,0.033121019108280254,1.9940869565217392,0.01904761904761905,0.01904761904761905
1627732,2023-24,Regular Season,1610612751,,58.7,3.55,0.104,3.5,Ben Simmons,BKN,0.126,34.13461538461539,0.029295774647887324,1.7442285714285715,0.009523809523809525,0.009523809523809525
